gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,associate's degree,standard,none,86,93,86
male,group C,some college,free/reduced,completed,48,44,58
female,group C,associate's degree,standard,none,55,62,57
male,group C,bachelor's degree,standard,none,71,61,59
female,group D,master's degree,standard,none,83,100,100
male,group D,some college,standard,completed,60,53,61
female,group E,bachelor's degree,standard,completed,79,78,81
male,group D,high school,standard,none,65,63,63
female,group A,associate's degree,standard,none,82,91,91
male,group B,associate's degree,standard,completed,89,89,93
female,group D,associate's degree,free/reduced,none,28,33,40
male,group E,high school,standard,completed,89,89,78
male,group C,high school,standard,none,71,62,61
female,group E,bachelor's degree,standard,none,100,100,98
female,group D,associate's degree,standard,none,72,70,75
male,group D,some high school,standard,none,72,74,73
female,group D,bachelor's degree,standard,none,66,70,61
female,group C,some college,standard,completed,68,72,76
female,group C,high school,standard,none,67,67,67
male,group D,master's degree,standard,none,89,85,81
male,group C,some high school,standard,none,73,67,60
female,group B,associate's degree,free/reduced,none,52,71,69
male,group A,some college,free/reduced,none,60,62,59
male,group D,associate's degree,standard,completed,67,67,68
female,group C,associate's degree,standard,none,63,65,68
male,group B,some high school,standard,completed,62,69,67
male,group A,some college,free/reduced,none,76,78,71
female,group E,some college,standard,none,68,73,79
male,group D,some college,standard,completed,77,85,76
male,group E,associate's degree,standard,none,73,59,65
female,group C,some high school,standard,completed,89,95,91
male,group B,associate's degree,free/reduced,completed,81,77,75
male,group B,high school,standard,completed,71,65,67
female,group C,associate's degree,free/reduced,completed,66,68,68
female,group B,some college,free/reduced,completed,66,72,71
female,group B,some high school,standard,completed,62,70,69
male,group C,some college,standard,none,69,64,65
male,group B,some college,free/reduced,none,73,69,65
female,group D,some college,standard,completed,72,74,81
female,group B,associate's degree,standard,completed,91,93,91
male,group D,some college,standard,completed,59,59,56
male,group D,some college,standard,none,77,74,79
male,group B,high school,standard,none,59,69,60
female,group D,bachelor's degree,standard,completed,71,77,81
male,group C,high school,free/reduced,none,66,64,63
female,group C,some college,standard,completed,64,79,74
female,group B,high school,free/reduced,completed,78,88,80
female,group C,bachelor's degree,standard,none,77,90,89
female,group D,master's degree,standard,none,93,99,98
male,group E,some college,standard,completed,85,74,69
female,group D,master's degree,standard,none,93,100,100
male,group C,bachelor's degree,standard,completed,97,87,96
male,group C,some college,free/reduced,none,77,63,68
female,group E,bachelor's degree,free/reduced,completed,91,100,99
male,group E,some college,standard,none,58,52,42
female,group C,bachelor's degree,free/reduced,completed,73,85,87
female,group D,master's degree,free/reduced,none,39,62,52
male,group D,master's degree,standard,none,92,86,83
female,group B,associate's degree,standard,none,47,50,50
female,group B,high school,free/reduced,none,62,69,68
female,group D,associate's degree,standard,none,56,71,61
male,group D,high school,standard,none,65,68,64
female,group D,high school,free/reduced,none,39,51,45
male,group C,high school,free/reduced,completed,54,51,52
female,group D,some college,standard,none,66,71,66
female,group C,associate's degree,free/reduced,none,59,80,69
female,group D,master's degree,standard,none,53,60,63
male,group C,high school,standard,none,70,61,64
male,group A,some college,standard,completed,80,74,71
female,group E,bachelor's degree,standard,none,80,81,84
female,group B,high school,standard,none,63,73,67
female,group C,high school,standard,none,70,80,75
male,group B,bachelor's degree,free/reduced,none,46,55,47
female,group B,some high school,free/reduced,completed,64,82,76
female,group D,some high school,free/reduced,completed,35,54,60
male,group C,high school,free/reduced,none,28,31,38
male,group C,high school,standard,completed,68,55,53
male,group E,associate's degree,standard,none,72,58,61
female,group C,associate's degree,free/reduced,none,54,60,59
male,group C,some high school,free/reduced,none,68,69,63
male,group C,master's degree,standard,none,80,77,76
female,group B,some high school,free/reduced,none,48,59,57
male,group C,high school,standard,none,80,66,65
male,group E,some college,standard,none,96,86,81
male,group D,some high school,standard,completed,72,70,76
female,group B,associate's degree,standard,none,48,49,49
male,group D,some college,free/reduced,none,61,57,64
female,group C,some college,standard,none,63,75,71
female,group C,some college,standard,completed,71,69,76
female,group C,associate's degree,free/reduced,none,58,78,66
female,group C,some college,standard,completed,70,89,89
male,group D,master's degree,standard,none,73,68,75
male,group B,associate's degree,standard,none,47,42,42
female,group C,some college,standard,none,58,69,75
male,group D,bachelor's degree,standard,none,72,75,74
female,group D,bachelor's degree,free/reduced,none,75,90,93
male,group E,bachelor's degree,standard,completed,73,60,63
male,group A,bachelor's degree,standard,completed,85,81,86
male,group A,some college,standard,none,54,41,41
male,group C,some college,standard,none,51,39,37
female,group C,some college,free/reduced,none,31,39,29
female,group E,some college,free/reduced,completed,78,87,85
female,group D,some college,free/reduced,none,64,83,79
female,group D,master's degree,standard,none,93,100,99
female,group E,master's degree,standard,completed,86,94,95
female,group E,some college,free/reduced,none,71,76,68
male,group D,bachelor's degree,free/reduced,completed,37,44,41
male,group B,some high school,standard,completed,93,86,85
male,group C,bachelor's degree,standard,none,71,64,61
male,group C,bachelor's degree,free/reduced,none,34,55,45
male,group B,some college,free/reduced,none,55,54,43
female,group E,associate's degree,standard,completed,65,75,80
female,group D,some college,free/reduced,none,70,83,86
female,group B,some high school,standard,none,54,66,71
male,group B,associate's degree,free/reduced,none,67,64,67
male,group B,some college,standard,none,46,46,43
male,group E,associate's degree,free/reduced,completed,91,72,82
female,group C,bachelor's degree,free/reduced,none,50,58,59
male,group C,associate's degree,standard,none,52,48,45
female,group D,some high school,standard,none,59,73,80
male,group C,some college,standard,none,51,45,40
female,group D,some college,free/reduced,none,60,67,70
female,group C,high school,free/reduced,none,35,54,45
female,group E,associate's degree,free/reduced,completed,86,85,85
female,group B,high school,standard,none,64,58,65
male,group D,some high school,standard,completed,63,65,68
male,group A,bachelor's degree,standard,none,69,67,62
female,group C,some college,standard,none,81,84,93
male,group C,associate's degree,free/reduced,none,54,62,54
female,group E,high school,free/reduced,completed,64,76,80
female,group A,master's degree,standard,none,49,51,56
female,group C,master's degree,standard,completed,51,64,65
female,group D,some high school,standard,none,60,59,59
male,group B,some college,free/reduced,none,75,66,65
male,group B,associate's degree,free/reduced,completed,55,58,54
male,group D,some college,standard,none,69,52,54
male,group D,associate's degree,standard,completed,68,71,74
male,group D,master's degree,standard,none,84,79,71
female,group E,high school,free/reduced,none,68,62,67
female,group C,high school,standard,none,69,68,75
male,group A,associate's degree,free/reduced,none,63,61,59
female,group C,associate's degree,standard,none,57,64,67
female,group B,some high school,standard,none,62,69,68
male,group E,bachelor's degree,standard,none,69,70,63
female,group D,some college,standard,none,75,68,78
female,group D,high school,standard,completed,68,74,78
male,group D,some college,standard,none,67,60,64
male,group B,bachelor's degree,free/reduced,none,88,75,78
female,group A,some high school,standard,none,73,83,76
female,group B,some high school,free/reduced,completed,52,69,74
male,group A,associate's degree,free/reduced,completed,79,81,80
male,group D,some college,standard,none,74,63,66
male,group C,associate's degree,free/reduced,none,52,59,53
female,group C,bachelor's degree,standard,none,66,69,72
male,group D,bachelor's degree,free/reduced,completed,74,79,77
female,group C,associate's degree,standard,completed,71,83,84
female,group C,associate's degree,standard,none,66,78,72
male,group E,associate's degree,standard,completed,96,83,81
female,group C,some high school,free/reduced,none,47,56,55
