feature,importance_mean,importance_std
num__reading score,0.5914614696202627,0.0657912578692471
num__writing score,0.40120091002407615,0.029313679616891714
cat__gender_female,0.09009340504078132,0.011301608851845297
cat__gender_male,0.0833611473122554,0.010238259922501061
cat__race/ethnicity_group E,0.006661022273701717,0.0037255528942822034
cat__test preparation course_none,0.002090969660801162,0.0023644610533153513
cat__test preparation course_completed,0.001851049079254896,0.002280521276610233
cat__race/ethnicity_group B,0.0011777647962950889,0.0010768547299247438
cat__lunch_free/reduced,0.0008100264642259325,0.0022723022820472123
cat__lunch_standard,0.00024867255882870534,0.0019929757279066344
cat__parental level of education_some college,-0.00018789430304346765,0.001380041549195967
cat__race/ethnicity_group D,-0.00020191044063111452,0.001023347071449742
cat__parental level of education_some high school,-0.0006436800630032436,0.0009525252401265251
cat__parental level of education_associate's degree,-0.000730612426374827,0.0020378096542276697
cat__parental level of education_bachelor's degree,-0.0007322639938543096,0.0007229748517943333
